Rajon,Car,Lines,Income2017
Витоша,0.5,1.5,1446
Витоша / Панчарево,0.5,1.6,1378
Връбница,0.4,1.8,1016
Възраждане,1.1,2.6,1259
Възраждане / Овча Купел,0.5,2.2,1352
Възраждане / Триадица,0.6,2.2,1533
Изгрев,0.8,3.9,1310
Илинден,0.4,1.7,1016
Искър,0.5,2.3,1310
Красна поляна,0.4,1.8,1048
Красно село,0.5,2.1,1493
Кремиковци ,0.6,1.7,990
Кремиковци / Нови Искър,0.5,1.9,947
Лозенец,0.7,2.8,1806
Лозенец / Триадица,0.7,2.8,1806
Люлин,0.5,2.1,1007
Младост ,0.6,2.7,1452
Младост / Панчарево,0.5,1.6,1381
Младост / Студентска,0.2,2.8,1452
Надежда,0.4,2.2,903
Надежда / Връбница,0.4,2,960
Нови Искър / Кремиковци,0.5,2.1,903
Оборище,0.7,2.7,1556
Овча Купел,0.5,1.7,1446
Панчарево,0.4,1.7,1310
Подуене,0.5,2,990
Подуене / Кремиковци,0.5,1.8,990
Подуене / Слатина,0.5,2.1,1150
Сердика,0.4,2.4,1057
Сердика / Илинден,0.4,2.1,1037
Сердика / Илинден / Надежда,0.4,2.2,985
Сердика / Кремиковци,0.4,2.1,1024
Слатина,0.5,2.2,1310
Слатина / Кремиковци,0.5,2,1150
Средец,0.7,3.9,1806
Средец / Оборище,0.7,3.3,1681
Студентска,0.2,2.9,1452
Триадица,0.6,2.7,1806